"node","k_parents","lm_ok","gam_ok","AIC_lm","AIC_gam","RMSE_lm","RMSE_gam","better"
"Raf",1,TRUE,TRUE,1180.80086840241,1166.24189726976,0.48251909712197,0.479805519209852,"GAM (nonlinear)"
"Mek",1,TRUE,TRUE,1520.35389252245,1520.35753319948,0.590556240824257,0.588889845214513,"GAM (nonlinear)"
"PLCg",2,TRUE,TRUE,1901.32647566188,1773.11618027258,0.736807170634482,0.690814423620602,"GAM (nonlinear)"
"PIP3",1,TRUE,TRUE,2001.08656836773,1947.3817128779,0.781515876607541,0.766039871931226,"GAM (nonlinear)"
"Erk",1,TRUE,TRUE,1120.27744649593,1099.23183719631,0.466693612361788,0.461883203802852,"GAM (nonlinear)"
"PKA",6,TRUE,TRUE,1772.15774820292,1696.51063117134,0.686070928896112,0.66320662881704,"GAM (nonlinear)"
"PKC",5,TRUE,TRUE,1876.47698791535,1652.9580934527,0.732243885481872,0.656267436252274,"GAM (nonlinear)"
